,MD_EARN_WNE_P10,MD_EARN_WNE_P8,MD_EARN_WNE_P6,INSTNM,population_2019,GRAD_DEBT_MDN,FIRST_GEN,MARRIED,ADM_RATE,SAT_AVG,POVERTY_RATE,Geographic Area,Geographic Area,LN_MEDIAN_HH_INC,COSTT4_A,UGDS_WHITE,MEDIAN_HH_INC,MD_EARN_WNE_P8,MD_EARN_WNE_P10
12,39900,36800,32600,Huntingdon College,"198,525",26399,0.3456,0.082840237,0.5841,1100.0,10.60999966,"montgomery , alabama","montgomery , alabama",10.85000038,35685.0,0.6503,54037.99,36800,39900
14,30600,30300,26900,Jefferson State Community College,"209,403",10000,0.450290778,0.133795838,,,9.779999733,"birmingham , alabama","birmingham , alabama",10.90999985,13284.0,0.6353,57833.36,30300,30600
16,35200,33700,29300,University of Mobile,"188,720",27000,0.324285714,0.103174603,0.4704,1094.0,12.48999977,"mobile , alabama","mobile , alabama",10.81000042,35463.0,0.5796,51833.34,33700,35200
17,29700,27900,21800,Oakwood University,"200,574",30676,0.17623498,0.042735043,0.6589,999.0,10.61999989,"huntsville , alabama","huntsville , alabama",10.96000004,36361.0,0.0057,60906.45,27900,29700
19,49900,42000,37500,Samford University,"209,403",20000,0.138055222,0.043224299,0.8208,1228.0,7.099999905,"birmingham , alabama","birmingham , alabama",11.07999992,46474.0,0.851,69602.13,42000,49900
21,37800,35800,31500,University of South Alabama,"188,720",25000,0.334257975,0.061950697,0.7931,1186.0,12.5,"mobile , alabama","mobile , alabama",10.81000042,19835.0,0.6058,51919.71,35800,37800
25,39800,33000,27700,Charter College,"184,463",14171,0.554040144,0.241560542,1.0,,6.010000229,"vancouver , washington","vancouver , washington",11.19999981,35613.0,0.3849,75163.69,33000,39800
30,23900,21100,19500,CollegeAmerica-Flagstaff,"75,038",24625,0.584527221,0.191377497,,,22.04000092,"flagstaff , arizona","flagstaff , arizona",10.64999962,32164.0,0.0968,45219.99,21100,23900
34,47700,43300,38300,Arizona State University-Tempe,"195,805",20278,0.381317921,0.150779706,0.8478,1240.0,7.710000038,"tempe , arizona","tempe , arizona",11.09000015,25621.0,0.5008,69074.33,43300,47700
35,27700,25300,22100,Arizona Western College,"98,285",5500,0.610764687,0.147682446,,,21.46999931,"yuma , arizona","yuma , arizona",10.60999966,15407.0,0.1421,41365.15,25300,27700
36,47300,40900,36900,University of Arizona,"548,073",20171,0.314072957,0.044080495,0.8442,1198.0,9.289999962,"tucson , arizona","tucson , arizona",10.98999977,26712.0,0.5009,64708.31,40900,47300
37,30200,24500,25100,Southwest University of Visual Arts-Tucson,"548,073",43000,0.4,0.099009901,,,9.739999771,"tucson , arizona","tucson , arizona",10.89000034,35552.0,0.3306,56683.5,24500,30200
44,34500,31800,28600,Glendale Community College,"252,381",8000,0.529686243,0.132009798,,,8.989999771,"glendale , arizona","glendale , arizona",10.97999954,11843.0,0.3831,60869.63,31800,34500
45,52700,39000,28400,Grand Canyon University,"1,680,992",21073,0.474408053,0.31784319,0.732,,8.949999809,"phoenix , arizona","phoenix , arizona",11,31248.0,0.4791,62877.37,39000,52700
46,34100,34000,32800,GateWay Community College,"1,680,992",6750,0.56622807,0.18041958,,,12.97999954,"phoenix , arizona","phoenix , arizona",10.88000011,12180.0,0.2961,55530.55,34000,34100
47,36000,32800,29600,Mesa Community College,"518,012",8000,0.457851491,0.131073006,,,7.989999771,"mesa , arizona","mesa , arizona",11.01000023,12362.0,0.4524,63155.06,32800,36000
49,40100,37200,34400,Northern Arizona University,"75,038",19500,0.386862576,0.126656274,0.8262,,10.52999973,"flagstaff , arizona","flagstaff , arizona",10.93999958,26748.0,0.5583,59985.62,37200,40100
51,31900,29400,26300,Phoenix College,"1,680,992",9000,0.61575524,0.121748963,,,14.96000004,"phoenix , arizona","phoenix , arizona",10.80000019,12075.0,0.2099,50868.19,29400,31900
53,30900,28000,25800,Pima Community College,"548,073",7437,0.477607973,0.121079749,,,12.56999969,"tucson , arizona","tucson , arizona",10.77000046,8853.0,0.3659,50427.11,28000,30900
57,39500,35000,31600,Rio Salado College,"195,805",7702,0.473234743,0.254713625,,,8.479999542,"tempe , arizona","tempe , arizona",11.01000023,10942.0,0.4868,62743.54,35000,39500
59,35600,35500,31300,Scottsdale Community College,"258,069",7500,0.40233498,0.096131301,,,7.78000021,"scottsdale , arizona","scottsdale , arizona",11.06000042,12661.0,0.5461,67477.78,35500,35600
61,32200,30300,32200,Arizona Christian University,"252,381",21938,0.382550336,0.064777328,0.5644,1032.0,7.190000057,"glendale , arizona","glendale , arizona",11.05000019,37562.0,0.478,65520.64,30300,32200
64,34900,33200,31200,University of Arkansas at Little Rock,"197,312",20937,0.391040462,0.171145317,0.7933,1099.0,10.96000004,"little rock , arkansas","little rock , arkansas",10.81000042,21301.0,0.4913,51732.17,33200,34900
66,21800,21100,19300,Arkansas Baptist College,"197,312",25250,0.449528937,0.016,,,16.13999939,"little rock , arkansas","little rock , arkansas",10.64000034,22502.0,0.0571,43283.78,21100,21800
70,44900,41700,37100,University of Arkansas,"87,590",21500,0.259961487,0.055938159,0.7747,1238.0,9.56000042,"fayetteville , arkansas","fayetteville , arkansas",10.82999992,22750.0,0.7597,52450.53,41700,44900
71,32200,30600,27500,Arkansas State University-Main Campus,"78,394",21250,0.388266797,0.133139405,0.7721,1189.0,13.39000034,"jonesboro , arkansas","jonesboro , arkansas",10.61999989,21375.0,0.7478,42159.88,30600,32200
72,47200,45100,47300,Baptist Health College Little Rock,"197,312",9500,0.416955017,0.2288,0.6667,1015.0,10.64999962,"little rock , arkansas","little rock , arkansas",10.80000019,24473.0,0.7068,50522.63,45100,47200
73,38300,34300,29600,University of Central Arkansas,"67,638",21500,0.345958922,0.050110538,0.911,1186.0,11.22999954,"conway , arkansas","conway , arkansas",10.76000023,21350.0,0.6583,48705.91,34300,38300
74,35300,35300,30000,Central Baptist College,"67,638",24250,0.345549738,0.165484634,0.6074,1004.0,10.14000034,"conway , arkansas","conway , arkansas",10.80000019,25303.0,0.6757,50351.38,35300,35300
82,24400,24800,21400,Philander Smith College,"197,312",25000,0.430340557,0.020434227,,,16.47999954,"little rock , arkansas","little rock , arkansas",10.67000008,25290.0,0.002,45434.78,24800,24400
83,27700,25400,22100,University of Arkansas-Pulaski Technical College,"65,903",13500,0.439144737,0.130422455,,,12.18999958,"north little rock , arkansas","north little rock , arkansas",10.77999973,16796.0,0.4254,50007.22,25400,27700
87,31000,30800,28100,University of Arkansas-Fort Smith,"87,891",17550,0.484022156,0.112587671,,,11.35000038,"fort smith , arkansas","fort smith , arkansas",10.69999981,16434.0,0.6514,45327.2,30800,31000
88,38600,32300,26900,Academy of Art University,"881,549",31000,0.408370159,0.14527027,,,7.559999943,"san francisco , california","san francisco , california",11.14999962,39735.0,0.1699,74015.06,32300,38600
93,30400,27100,24000,Allan Hancock College,"107,263",8000,0.594700687,0.100984324,,,11.89999962,"santa maria , california","santa maria , california",10.92000008,10784.0,0.2664,56468.26,27100,30400
100,32000,26900,23200,American River College,"513,624",15450,0.514147803,0.200861605,,,11.46000004,"sacramento , california","sacramento , california",10.94999981,11961.0,0.393,59196.72,26900,32000
101,27100,24400,19600,Antelope Valley College,"157,601",11250,0.561569981,0.087856561,,,14.14000034,"lancaster , california","lancaster , california",10.94999981,13084.0,0.1915,58643.73,24400,27100
102,53600,54100,40300,Art Center College of Design,"141,029",32250,0.242884251,0.019855596,0.6765,,9.149999619,"pasadena , california","pasadena , california",11.14999962,64097.0,0.1369,74131.88,54100,53600
105,29800,25800,22400,Bakersfield College,"384,145",10832,0.630508475,0.087844488,,,19.68000031,"bakersfield , california","bakersfield , california",10.71000004,12467.0,0.1935,46274.57,25800,29800
109,31900,35500,31100,Bryan University,"195,805",20000,0.535202864,0.315634218,,,14.14999962,"tempe , arizona","tempe , arizona",10.94999981,23758.0,0.4121,60965.37,35500,31900
111,42600,39500,34300,California Baptist University,"331,360",27000,0.416079812,0.149598133,0.7955,1103.0,9.909999847,"riverside , california","riverside , california",11.06999969,44746.0,0.3886,66849.57,39500,42600
115,54200,45800,38500,California Lutheran University,"126,813",21831,0.353858785,0.062921348,0.7147,1163.0,6.489999771,"thousand oaks , california","thousand oaks , california",11.27000046,56491.0,0.4283,81648.78,45800,54200
116,59500,62900,59600,Alliant International University-San Diego,"1,423,851",12563,0.319298246,0.278481013,1.0,,9.140000343,"san diego , california","san diego , california",11.10999966,34892.0,0.3668,71211.32,62900,59500
117,47800,41900,36400,California State University-Bakersfield,"384,145",16003,0.58172232,0.083715596,0.2302,,16.38999939,"bakersfield , california","bakersfield , california",10.84000015,16714.0,0.1419,53982.7,41900,47800
118,45400,39300,35000,California State University-Stanislaus,"73,631",14050,0.599456686,0.081807648,0.8582,,12.94999981,"turlock , california","turlock , california",10.92000008,16442.0,0.2126,56979.76,39300,45400
119,44500,38500,33100,California State University-San Bernardino,"215,784",15000,0.596857816,0.0654149,0.5483,991.0,13.35999966,"san bernardino , california","san bernardino , california",10.94999981,18522.0,0.1129,59070.9,38500,44500
120,54000,45900,39900,California State Polytechnic University-Pomona,"151,691",17050,0.492781664,0.03863189,0.5515,1143.0,11.09000015,"pomona , california","pomona , california",11.07999992,21302.0,0.1584,68064.96,45900,54000
121,48100,42800,38200,California State University-Chico,"103,301",17000,0.473401298,0.052449749,0.6526,1092.0,9.630000114,"chico , california","chico , california",10.96000004,23508.0,0.4227,61867.44,42800,48100
122,48100,42800,38200,California State University-Chico,"94,371",17000,0.473401298,0.052449749,0.6526,1092.0,9.630000114,"chico , california","chino , california",10.96000004,23508.0,0.4227,61867.44,42800,48100
123,44700,37600,33100,California State University-Dominguez Hills,"91,394",14000,0.590501792,0.068061142,0.6394,,17.81999969,"carson , california","carson , california",10.85000038,14469.0,0.0589,54533,37600,44700
124,44700,38900,32400,California State University-Fresno,"531,576",14974,0.53245174,0.062479555,0.5753,1019.0,16.06999969,"fresno , california","fresno , california",10.82999992,16915.0,0.1782,53295.09,38900,44700
125,47200,41000,35100,California State University-Fullerton,"138,632",14751,0.494455253,0.052136021,0.4341,1124.0,9.409999847,"fullerton , california","fullerton , california",11.15999985,17645.0,0.187,73036.4,41000,47200
126,51700,47700,40600,California State University-East Bay,"159,203",15125,0.509297521,0.076769025,0.716,,8.390000343,"hayward , california","hayward , california",11.22000027,21371.0,0.1496,78750.43,47700,51700
127,48100,42500,36500,California State University-Long Beach,"462,628",15000,0.486271676,0.036177418,0.3121,1146.0,11.93999958,"long beach , california","long beach , california",11.06000042,18306.0,0.1685,66954.9,42500,48100
128,46100,40200,33700,California State University-Los Angeles,"3,979,576",13750,0.615339372,0.047088823,0.4152,978.0,17.51000023,"los angeles , california","los angeles , california",10.81999969,14823.0,0.0507,52850.08,40200,46100
129,48900,44300,38600,California State University-Sacramento,"513,624",15320,0.490483319,0.066058236,0.6386,1030.0,10.14000034,"sacramento , california","sacramento , california",11.03999996,19807.0,0.2567,65686.13,44300,48900
130,64700,56800,48700,University of California-Berkeley,"121,363",13478,0.345800525,0.026002644,0.1484,1448.0,8.56000042,"berkeley , california","berkeley , california",11.18999958,36739.0,0.2487,77601.85,56800,64700
131,58200,49200,40400,University of California-Davis,"69,413",13000,0.408311428,0.022952586,0.4107,1292.0,8.539999962,"davis , california","davis , california",11.18000031,35252.0,0.2376,76621.08,49200,58200
132,58400,48800,41100,University of California-Irvine,"287,401",15488,0.439811172,0.015213317,0.2876,1316.0,8.710000038,"irvine , california","irvine , california",11.21000004,32985.0,0.1341,78085.65,48800,58400
133,60700,54100,44500,University of California-Los Angeles,"3,979,576",15000,0.380891393,0.01511783,0.1404,1423.0,10.07999992,"los angeles , california","los angeles , california",11.13000011,33654.0,0.266,72896.84,54100,60700
134,49700,42000,33700,University of California-Riverside,"331,360",19000,0.483469907,0.01587115,0.5057,1229.0,11.28999996,"riverside , california","riverside , california",11.07999992,32843.0,0.1142,68292.12,42000,49700
136,55300,46800,39000,University of California-Santa Barbara,"91,364",15000,0.424005811,0.006403249,0.322,1360.0,9.479999542,"santa barbara , california","santa barbara , california",11.14000034,35987.0,0.3066,73046.19,46800,55300
137,46900,40700,33800,University of California-Santa Cruz,"64,608",18408,0.367497508,0.010544816,0.4737,1311.0,7.980000019,"santa cruz , california","santa cruz , california",11.21000004,35982.0,0.3035,78075.09,40700,46900
145,31500,33600,29200,Canada College,"85,925",12955,0.57278481,0.109929078,,,5.809999943,"redwood city , california","redwood city , california",11.40999985,10446.0,0.2371,93099.25,33600,31500
146,39400,34600,26900,College of the Canyons,"212,979",9000,0.514626527,0.086230558,,,8.43999958,"santa clarita , california","santa clarita , california",11.22999954,11340.0,0.3033,79149.63,34600,39400
147,39400,34600,26900,College of the Canyons,"130,365",9000,0.514626527,0.086230558,,,8.43999958,"santa clarita , california","santa clara , california",11.22999954,11340.0,0.3033,79149.63,34600,39400
155,31900,29500,24500,Cerritos College,"103,949",9571,0.599349092,0.071605244,,,15.77999973,"norwalk , california","norwalk , california",10.89999962,8792.0,0.0307,55858.83,29500,31900
156,34600,32100,27500,Chabot College,"159,203",12460,0.555425904,0.104327208,,,7.860000134,"hayward , california","hayward , california",11.18999958,12068.0,0.1534,75387.89,32100,34600
158,54500,49600,43900,Chapman University,"138,669",20750,0.17877412,0.008690929,0.5356,1288.0,8.31000042,"orange , california","orange , california",11.14999962,69018.0,0.5282,73437.32,49600,54500
159,81900,70700,67100,Charles R Drew University of Medicine and Science,"3,979,576",16427,0.47706422,0.096774194,0.3727,982.0,16.43000031,"los angeles , california","los angeles , california",10.86999989,31311.0,0.0429,55906.67,70700,81900
160,46400,40300,36000,Concordia University-Irvine,"287,401",23230,0.283863369,0.069296375,0.6178,1142.0,7.090000153,"irvine , california","irvine , california",11.23999977,49474.0,0.4899,79890.85,40300,46400
161,36700,31600,27700,San Diego Christian College,"58,081",22798,0.408376963,0.200466201,0.6013,1055.0,8.289999962,"santee , california","santee , california",11.07999992,45605.0,0.4085,66943.92,31600,36700
163,30900,27400,23800,Citrus College,"51,544",6761,0.537568901,0.068395172,,,10.81000042,"glendora , california","glendora , california",11.07999992,11341.0,0.1562,66112.83,27400,30900
165,35100,31200,26800,City College of San Francisco,"881,549",9813,0.550295858,0.115471869,,,9.079999924,"san francisco , california","san francisco , california",11.15999985,10392.0,0.2308,73519.25,31200,35100
168,35100,32400,27900,Coastline Community College,"55,357",9500,0.554902847,0.369015048,,,10.21000004,"fountain valley , california","fountain valley , california",11.10000038,16173.0,0.3149,68030.49,32400,35100
174,29700,29200,22500,Cosumnes River College,"513,624",9626,0.513391304,0.131919296,,,11.36999989,"sacramento , california","sacramento , california",11.03999996,11790.0,0.2272,65383.01,29200,29700
177,41700,38900,31800,De Anza College,"59,276",8000,0.520590043,0.06626506,,,5.670000076,"cupertino , california","cupertino , california",11.47999954,11267.0,0.1811,99537.14,38900,41700
181,55600,49400,44400,Dominican University of California,"58,440",27000,0.306122449,0.03219697,0.8717,1126.0,6.940000057,"san rafael , california","san rafael , california",11.22999954,63875.0,0.3022,79219.91,49400,55600
183,31300,28600,23800,East Los Angeles College,"59,669",10000,0.685203189,0.068895643,,,21.62999916,"monterey park , california","monterey park , california",10.69999981,15837.0,0.0605,45627.56,28600,31300
187,36600,31600,25700,Evergreen Valley College,"1,021,795",8000,0.637315271,0.156429156,,,7.119999886,"san jose , california","san jose , california",11.43999958,18625.0,0.0606,95655.94,31600,36600
188,37200,36200,33900,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,"3,979,576",14167,0.301587302,0.026959248,0.5193,,8.520000458,"los angeles , california","los angeles , california",11.14999962,49961.0,0.3389,73476,36200,37200
189,37200,36200,33900,FIDM-Fashion Institute of Design & Merchandising-San Francisco,"881,549",14167,0.301587302,0.026959248,0.4615,,8.520000458,"san francisco , california","san francisco , california",11.14999962,45546.0,0.3624,73476,36200,37200
190,37200,36200,33900,FIDM-Fashion Institute of Design & Merchandising-Orange County,"287,401",14167,0.301587302,0.026959248,0.6667,,8.520000458,"irvine , california","irvine , california",11.14999962,45416.0,0.375,73476,36200,37200
196,28000,23700,20800,Fresno City College,"531,576",4500,0.522885101,0.083396024,,,20.72999954,"fresno , california","fresno , california",10.68000031,9903.0,0.2157,45902.47,23700,28000
197,43900,37900,34900,Fresno Pacific University,"531,576",23000,0.465763195,0.283505155,0.8511,1053.0,15.25,"fresno , california","fresno , california",10.85000038,40950.0,0.2756,53503.12,37900,43900
200,30400,26600,23100,Gavilan College,"59,032",9000,0.5640553,0.094875346,,,6.510000229,"gilroy , california","gilroy , california",11.36999989,11478.0,0.2803,88232.31,26600,30400
202,33200,27900,23500,Glendale Community College,"199,303",8000,0.601828967,0.205835962,,,16.60000038,"glendale , california","glendale , california",10.81999969,11239.0,0.4905,52242.91,27900,33200
205,33300,31000,24400,Golden West College,"199,223",8000,0.533719487,0.095077958,,,10.23999977,"huntington beach , california","huntington beach , california",11.13000011,11768.0,0.286,69921.87,31000,33300
207,34000,28500,24900,Grossmont College,"102,708",4833,0.550389427,0.168039539,,,10.43000031,"el cajon , california","el cajon , california",10.97999954,10090.0,0.3845,60424.37,28500,34000
211,50800,43500,39600,Holy Names University,"433,031",24125,0.474903475,0.032679739,0.7004,849.0,9.569999695,"oakland , california","oakland , california",11.14000034,55758.0,0.1565,72379.02,43500,50800
212,36600,31100,26200,Humboldt State University,"57,939",18000,0.44061178,0.030219019,0.7679,1074.0,10.92000008,"arcata , california","arcadia , california",10.89000034,24382.0,0.4253,57400.36,31100,36600
213,28800,28600,25400,Humphreys University-Stockton and Modesto Campuses,"312,697",31334,0.58974359,0.221518987,,,15.26000023,"stockton , california","stockton , california",10.88000011,20232.0,0.1873,54713.65,28600,28800
222,27700,24800,21200,Laney College,"433,031",9000,0.611842105,0.203773585,,,16.18000031,"oakland , california","oakland , california",10.85999966,16851.0,0.1591,55378.74,24800,27700
226,49500,41500,33700,La Sierra University,"331,360",27189,0.396158463,0.028183716,0.4709,1022.0,11.42000008,"riverside , california","riverside , california",11.01000023,43906.0,0.1224,63313.83,41500,49500
227,28900,25600,22300,Long Beach City College,"462,628",9555,0.564393939,0.055561503,,,21.28000069,"long beach , california","long beach , california",10.76000023,10438.0,0.131,49822.89,25600,28900
229,24800,22700,19500,Los Angeles Southwest College,"3,979,576",9200,0.583461736,0.07754502,,,25.93000031,"los angeles , california","los angeles , california",10.60000038,14239.0,0.0191,41715.77,22700,24800
230,28800,24000,20400,Los Angeles Trade Technical College,"3,979,576",10500,0.612590799,0.077450763,,,26.52000046,"los angeles , california","los angeles , california",10.53999996,14183.0,0.0369,39814.92,24000,28800
231,41700,37800,35500,The Master's University and Seminary,"212,979",21500,0.22826087,0.11440678,0.7688,1143.0,7.840000153,"santa clarita , california","santa clarita , california",11.13000011,46764.0,0.6439,71662.94,37800,41700
232,41700,37800,35500,The Master's University and Seminary,"130,365",21500,0.22826087,0.11440678,0.7688,1143.0,7.840000153,"santa clarita , california","santa clara , california",11.13000011,46764.0,0.6439,71662.94,37800,41700
233,26700,22900,20400,Los Angeles City College,"3,979,576",11500,0.58974359,0.151549681,,,23.86000061,"los angeles , california","los angeles , california",10.53999996,12362.0,0.146,39896.23,22900,26700
235,34900,29300,24800,Los Medanos College,"72,588",8125,0.512597343,0.108385207,,,7.699999809,"pittsburg , california","pittsburg , california",11.23999977,11666.0,0.2468,77347.81,29300,34900
236,61300,54300,45100,Loyola Marymount University,"3,979,576",20500,0.22403734,0.012630423,0.4713,1321.0,8.600000381,"los angeles , california","los angeles , california",11.19999981,64484.0,0.4379,78631.93,54300,61300
243,32600,29000,24100,Merritt College,"433,031",15679,0.54789916,0.11706716,,,13.85000038,"oakland , california","oakland , california",10.97999954,15569.0,0.1671,61361.43,29000,32600
244,39900,41300,34600,Mills College,"433,031",24716,0.331536388,0.03440367,0.8554,1158.0,9,"oakland , california","oakland , california",11.11999989,63047.0,0.3672,71756.45,41300,39900
245,28900,26800,23300,MiraCosta College,"175,742",6787,0.509713977,0.197088223,,,7.539999962,"oceanside , california","oceanside , california",11.10999966,10578.0,0.3938,68755.94,26800,28900
251,53200,53000,51900,Mount Saint Mary's University,"3,979,576",25000,0.497259201,0.084714549,0.8382,1031.0,15.06999969,"los angeles , california","los angeles , california",10.93000031,54912.0,0.0766,59943.9,53000,53200
252,37000,36700,31200,Napa Valley College,"78,130",11750,0.511091393,0.091962346,,,6.699999809,"napa , california","napa , california",11.17000008,18168.0,0.2844,72166.28,36700,37000
253,49400,38900,41800,Newschool of Architecture and Design,"1,423,851",37000,0.378787879,0.092715232,1.0,,8.75,"san diego , california","san diego , california",11.07999992,43082.0,0.2264,67862.5,38900,49400
257,56400,47800,44300,Notre Dame de Namur University,"51,063",25000,0.458422175,0.085066163,0.8152,983.0,5.710000038,"belmont , california","beaumont , california",11.35000038,52143.0,0.1975,89560.16,47800,56400
260,38100,31900,27000,Orange Coast College,"113,003",9500,0.505180751,0.057517483,,,9.18999958,"costa mesa , california","costa mesa , california",11.18999958,11524.0,0.3091,74581.4,31900,38100
263,36000,35200,29700,Hope International University,"138,632",24422,0.386313466,0.12038835,0.2945,1022.0,8.119999886,"fullerton , california","fullerton , california",11.14000034,42424.0,0.3419,71774.01,35200,36000
269,71700,62300,51700,University of the Pacific,"312,697",20500,0.350177305,0.024653313,0.6348,1240.0,9.18999958,"stockton , california","stockton , california",11.13000011,60487.0,0.2243,72621.06,62300,71700
271,33800,29700,24400,Pasadena City College,"141,029",7000,0.563589898,0.052512705,,,15.07999992,"pasadena , california","pasadena , california",10.89999962,12350.0,0.142,56187.56,29700,33800
272,37000,30100,33700,Platt College-San Diego,"1,423,851",18233,0.447619048,0.146341463,,,9.270000458,"san diego , california","san diego , california",11.05000019,33180.0,0.4306,65513.48,30100,37000
273,50900,48700,40800,Point Loma Nazarene University,"1,423,851",22500,0.293117409,0.128624535,0.6893,1240.0,8.100000381,"san diego , california","san diego , california",11.13000011,49512.0,0.5137,71269.62,48700,50900
276,33800,29900,26300,Santa Ana College,"332,318",7500,0.696057652,0.08611691,,,11.68999958,"santa ana , california","santa ana , california",11.10999966,11573.0,0.1872,69027.49,29900,33800
279,55000,49500,43700,University of Redlands,"71,513",26036,0.352345906,0.103505843,0.7475,1189.0,9.18999958,"redlands , california","redlands , california",11.09000015,65220.0,0.4109,68599.2,49500,55000
282,35100,30100,25300,Rio Hondo College,"85,098",9000,0.682699973,0.057345608,,,14.43999958,"whittier , california","whittier , california",10.93000031,11660.0,0.0692,57521.57,30100,35100
283,31600,28900,24300,Riverside City College,"331,360",8000,0.557178841,0.083922262,,,12.09000015,"riverside , california","riverside , california",11.02000046,13263.0,0.1922,62818.87,28900,31600
286,34300,28500,24200,Sacramento City College,"513,624",10500,0.505805852,0.112557158,,,14.39000034,"sacramento , california","sacramento , california",10.86999989,12575.0,0.2656,55083.56,28500,34300
287,38700,33500,28300,Saddleback College,"94,381",10000,0.411832947,0.149834984,,,4.429999828,"mission viejo , california","mission viejo , california",11.42000008,13605.0,0.5131,93728.38,33500,38700
289,29200,25200,23100,San Diego City College,"1,423,851",6875,0.581683168,0.120143241,,,16.12999916,"san diego , california","san diego , california",10.78999996,13223.0,0.2204,50659.01,25200,29200
290,37800,31800,27800,San Diego Mesa College,"1,423,851",4757,0.48779415,0.118273841,,,11.02000046,"san diego , california","san diego , california",10.98999977,12638.0,0.311,61989.59,31800,37800
291,39300,33000,27400,San Diego Miramar College,"1,423,851",6750,0.44620743,0.195824106,,,5.989999771,"san diego , california","san diego , california",11.27999973,12995.0,0.3624,82971.08,33000,39300
292,51000,44200,37700,San Diego State University,"1,423,851",15497,0.411946193,0.058570661,0.3458,1213.0,9.479999542,"san diego , california","san diego , california",11.07999992,22990.0,0.3367,68953.33,44200,51000
293,60000,58400,50100,University of San Diego,"1,423,851",23049,0.248623131,0.030973451,0.5292,1285.0,6.599999905,"san diego , california","san diego , california",11.22999954,64732.0,0.5047,79883.39,58400,60000
296,49200,44000,38000,San Francisco State University,"881,549",16010,0.482071243,0.030966469,0.7176,1054.0,7.829999924,"san francisco , california","san francisco , california",11.21000004,24434.0,0.1737,77495.51,44000,49200
297,62300,57400,50000,University of San Francisco,"881,549",23250,0.280120482,0.035014006,0.6455,1237.0,6.559999943,"san francisco , california","san francisco , california",11.27000046,65185.0,0.2543,82472.56,57400,62300
299,30800,26900,22500,San Joaquin Delta College,"312,697",9000,0.56420765,0.098899209,,,16.17000008,"stockton , california","stockton , california",10.86999989,18106.0,0.1976,54829.78,26900,30800
301,37300,35400,34000,William Jessup University,"68,823",21500,0.326889279,0.115755627,0.5853,1084.0,6.389999866,"rocklin , california","rocklin , california",11.19999981,44800.0,0.5217,76498.11,35400,37300
302,31400,27800,24700,San Jose City College,"1,021,795",10000,0.58111031,0.143530644,,,7.539999962,"san jose , california","san jose , california",11.35000038,17967.0,0.134,87980.17,27800,31400
303,56100,49400,42200,San Jose State University,"1,021,795",15526,0.49048135,0.040904472,0.5466,1143.0,6.980000019,"san jose , california","san jose , california",11.35000038,24514.0,0.1507,88589.14,49400,56100
304,40700,34900,29000,College of San Mateo,"104,430",10000,0.50952381,0.086391437,,,4.869999886,"san mateo , california","san mateo , california",11.39999962,9316.0,0.2569,91605.26,34900,40700
305,24800,23400,20700,Santa Barbara Business College-Bakersfield,"384,145",19999,0.579617834,0.177777778,,,19.84000015,"bakersfield , california","bakersfield , california",10.71000004,22729.0,0.2059,46373.44,23400,24800
